area,party,source,wikiname,area_id,term,name,id
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",,ocd-division/country:fk/constituency:stanley,1985,Darwin Lewis Clifton,darwin_lewis_clifton
West Falkland,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",,ocd-division/country:fk/constituency:west-falkland,1977,Derek Stanley Evans,derek_stanley_evans
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Emma Edwards,ocd-division/country:fk/constituency:stanley,2009,Emma Edwards,emma_edwards
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",,ocd-division/country:fk/constituency:camp,1993,Eric Goss,eric_goss
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",Gavin Short,ocd-division/country:fk/constituency:stanley,1989,Gavin Short,gavin_short
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Gavin Short,ocd-division/country:fk/constituency:stanley,2009,Gavin Short,gavin_short
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Gavin Short,ocd-division/country:fk/constituency:stanley,2013,Gavin Short,gavin_short
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",,ocd-division/country:fk/constituency:stanley,1989,"Gerrard ""Fred"" Robson","gerrard_""fred""_robson"
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Glenn Ross (politician),ocd-division/country:fk/constituency:stanley,2009,Glenn Ross,glenn_ross
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",,ocd-division/country:fk/constituency:stanley,1989,Harold Rowlands,harold_rowlands
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2005",Ian Hansen,ocd-division/country:fk/constituency:camp,2005,Ian Hansen,ian_hansen
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Ian Hansen,ocd-division/country:fk/constituency:camp,2013,Ian Hansen,ian_hansen
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Jan Cheek,ocd-division/country:fk/constituency:stanley,1997,Jan Cheek,jan_cheek
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Jan Cheek,ocd-division/country:fk/constituency:stanley,2001,Jan Cheek,jan_cheek
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Jan Cheek,ocd-division/country:fk/constituency:stanley,2009,Jan Cheek,jan_cheek
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Jan Cheek,ocd-division/country:fk/constituency:stanley,2013,Jan Cheek,jan_cheek
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2005",Janet Robertson,ocd-division/country:fk/constituency:stanley,2005,Janet Robertson,janet_robertson
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",John Birmingham (politician),ocd-division/country:fk/constituency:stanley,1997,John Birmingham,john_birmingham
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",John Birmingham (politician),ocd-division/country:fk/constituency:stanley,2001,John Birmingham,john_birmingham
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",,ocd-division/country:fk/constituency:stanley,1993,John Cheek,john_cheek
West Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",,ocd-division/country:fk/constituency:west-stanley,1981,John Edward Cheek,john_edward_cheek
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",,ocd-division/country:fk/constituency:stanley,1985,John Edward Cheek,john_edward_cheek
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",,ocd-division/country:fk/constituency:camp,1989,Kevin Kilmartin,kevin_kilmartin
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",,ocd-division/country:fk/constituency:stanley,1997,Lewis Clifton,lewis_clifton
West Falkland,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",,ocd-division/country:fk/constituency:west-falkland,1981,Lionel Geoffrey Blake,lionel_geoffrey_blake
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",,ocd-division/country:fk/constituency:camp,1985,Lionel Geoffrey Blake,lionel_geoffrey_blake
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Michael Poole (politician),ocd-division/country:fk/constituency:stanley,2013,Michael Poole,michael_poole
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2005",Michael Rendell,ocd-division/country:fk/constituency:camp,2005,Michael Rendell,michael_rendell
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Mike Summers,ocd-division/country:fk/constituency:stanley,2001,Michael Summers,michael_summers
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Mike Summers,ocd-division/country:fk/constituency:stanley,1997,Mike Summers,mike_summers
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2005",Mike Summers,ocd-division/country:fk/constituency:stanley,2005,Mike Summers,mike_summers
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Mike Summers,ocd-division/country:fk/constituency:stanley,2013,Mike Summers,mike_summers
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",,ocd-division/country:fk/constituency:stanley,1985,Norma Edwards,norma_edwards
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",,ocd-division/country:fk/constituency:camp,1989,Norma Edwards,norma_edwards
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",,ocd-division/country:fk/constituency:camp,1993,Norma Edwards,norma_edwards
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",,ocd-division/country:fk/constituency:camp,1997,Norma Edwards,norma_edwards
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",,ocd-division/country:fk/constituency:camp,2001,Norma Edwards,norma_edwards
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",,ocd-division/country:fk/constituency:camp,2001,Philip Miller,philip_miller
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Phyllis Rendell,ocd-division/country:fk/constituency:camp,2013,Phyllis Rendell,phyllis_rendell
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Richard Cockwell,ocd-division/country:fk/constituency:camp,1997,Richard Cockwell,richard_cockwell
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Richard Cockwell,ocd-division/country:fk/constituency:stanley,2001,Richard Cockwell,richard_cockwell
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2005",Richard Cockwell,ocd-division/country:fk/constituency:stanley,2005,Richard Cockwell,richard_cockwell
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2005",,ocd-division/country:fk/constituency:stanley,2005,Richard Davies,richard_davies
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Richard Sawle,ocd-division/country:fk/constituency:stanley,2009,Richard Sawle,richard_sawle
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",Richard Stevens (Falkland Islands politician),ocd-division/country:fk/constituency:camp,1993,Richard Stevens,richard_stevens
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2005",Richard James Stevens,ocd-division/country:fk/constituency:camp,2005,Richard Stevens,richard_stevens
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",,ocd-division/country:fk/constituency:camp,1985,Robin Myles Lee,robin_myles_lee
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Roger Edwards (politician),ocd-division/country:fk/constituency:camp,2001,Roger Edwards,roger_edwards
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Roger Anthony Edwards,ocd-division/country:fk/constituency:camp,2009,Roger Edwards,roger_edwards
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",Roger Edwards (politician),ocd-division/country:fk/constituency:camp,2013,Roger Edwards,roger_edwards
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",,ocd-division/country:fk/constituency:camp,1989,Ron Binnie,ron_binnie
East Falkland,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",,ocd-division/country:fk/constituency:east-falkland,1981,Ronald Eric Binnie,ronald_eric_binnie
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",Sharon Halford,ocd-division/country:fk/constituency:stanley,1993,Sharon Halford,sharon_halford
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Sharon Halford,ocd-division/country:fk/constituency:stanley,1997,Sharon Halford,sharon_halford
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",Sharon Halford,ocd-division/country:fk/constituency:camp,2009,Sharon Halford,sharon_halford
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",,ocd-division/country:fk/constituency:stanley,2001,Stephen Luxton,stephen_luxton
West Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",,ocd-division/country:fk/constituency:west-stanley,1977,Stuart Barrett Wallace,stuart_barrett_wallace
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",Terence John Peck,ocd-division/country:fk/constituency:stanley,1981,Terence John Peck,terence_john_peck
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",Terry Peck,ocd-division/country:fk/constituency:stanley,1989,Terry Peck,terry_peck
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",,ocd-division/country:fk/constituency:camp,1977,Timothy John Durose Miller,timothy_john_durose_miller
Camp,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",,ocd-division/country:fk/constituency:camp,1985,Timothy John Durose Miller,timothy_john_durose_miller
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",,ocd-division/country:fk/constituency:stanley,1993,Wendy Teggart,wendy_teggart
Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",,ocd-division/country:fk/constituency:stanley,1977,William Edward Bowles,william_edward_bowles
East Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",,ocd-division/country:fk/constituency:east-stanley,1977,William Henry,william_henry
East Stanley,Independent,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",,ocd-division/country:fk/constituency:east-stanley,1981,William Henry Goss,william_henry_goss
