id,name,party,party_id,email,image,source,term,constituency,tel,sort_name,family_name,given_name,phone
P225,Luis Alberto Larré Del Puerto,ANR,ANR,luislarre@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P225.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=225,2013,Itapúa,,"Larré Del Puerto, Luis Alberto",Larré Del Puerto,Luis Alberto,414 - 4209
P226,Del Pilar Eva Medina de Paredes,ANR,ANR,delpilarmedinadeparedes@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P226.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=226,2013,Central,,"Medina de Paredes, Del Pilar Eva",Medina de Paredes,Del Pilar Eva,414 - 4210
P227,Víctor Luís González Segovia,ANR,ANR,vlgonzalez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P227.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=227,2013,Cordillera,,"González Segovia, Víctor Luís",González Segovia,Víctor Luís,414 - 4211
P228,Pedro David Britos Espínola,ANR,ANR,pedrobritos@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P228.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=228,2013,Guairá,,"Britos Espínola, Pedro David",Britos Espínola,Pedro David,414 - 4212
P229,Concepción Quintana López,ANR,ANR,concepcionquintana@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P229.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=229,2013,Alto Paraná,,"Quintana López, Concepción",Quintana López,Concepción,414 - 4213
P230,Perla Teresa Beatriz Acosta de Vázquez,ANR,ANR,perladevazquez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P230.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=230,2013,San Pedro,,"Acosta de Vázquez, Perla Teresa Beatriz",Acosta de Vázquez,Perla Teresa Beatriz,414 - 4214
P231,Marcial Lezcano Paredes,ANR,ANR,marciallezcano@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P231.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=231,2013,Amambay,,"Lezcano Paredes, Marcial",Lezcano Paredes,Marcial,414 - 4215
P232,Purificación Morel Alfonzo,ANR,ANR,lelimorel@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P232.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=232,2013,Canindeyú,,"Morel Alfonzo, Purificación",Morel Alfonzo,Purificación,414 - 4216
P233,Ricardo Núñez Insfrán,ANR,ANR,ricardonunez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P233.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=233,2013,Central,,"Núñez Insfrán, Ricardo",Núñez Insfrán,Ricardo,""
P234,Celso Maldonado Duarte,PLRA,PLRA,celsomaldonado@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P234.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=234,2013,Central,,"Maldonado Duarte, Celso",Maldonado Duarte,Celso,414 - 4218
P235,Jorge Ramón Avalos Mariño,PLRA,PLRA,jravalos@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P235.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=235,2013,Paraguarí,,"Avalos Mariño, Jorge Ramón",Avalos Mariño,Jorge Ramón,414 - 4253
P236,María Cristina Villalba López,ANR,ANR,cristinavillalba@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P236.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=236,2013,Canindeyú,,"Villalba López, María Cristina",Villalba López,María Cristina,414 - 4221
P237,Ramón Romero Roa,ANR,ANR,ramonromero@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P237.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=237,2013,Alto Paraná,,"Romero Roa, Ramón",Romero Roa,Ramón,414 - 4222
P238,Hércules Pedro Lorenzo Alliana Rodríguez,ANR,ANR,pedroalliana@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P238.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=238,2013,Ñeembucú,,"Alliana Rodríguez, Hércules Pedro Lorenzo",Alliana Rodríguez,Hércules Pedro Lorenzo,414 - 4223
P239,Elio Cabral González,ANR,ANR,ecabralg@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P239.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=239,2013,Alto Paraná,,"Cabral González, Elio",Cabral González,Elio,414 - 4224
P240,Clemente Ramón Barrios Monges,ANR,ANR,crbarrios@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P240.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=240,2013,Paraguarí,,"Barrios Monges, Clemente Ramón",Barrios Monges,Clemente Ramón,414 - 4225
P241,Oscar Venancio Nuñez Gimenez,ANR,ANR,oscarvnunez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P241.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=241,2013,Presidente Hayes,,"Nuñez Gimenez, Oscar Venancio",Nuñez Gimenez,Oscar Venancio,414 - 4226
P242,Enrique Javier Pereira Thalmann,ANR,ANR,enriquepereira@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P242.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=242,2013,Central,,"Pereira Thalmann, Enrique Javier",Pereira Thalmann,Enrique Javier,414 - 4227
P243,Víctor Ríos Ojeda,PLRA,PLRA,vrios@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P243.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=243,2013,Ñeembucú,,"Ríos Ojeda, Víctor",Ríos Ojeda,Víctor,414 - 4228
P244,Tomás Fidelino Rivas Benítez,ANR,ANR,trivas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P244.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=244,2013,Paraguarí,,"Rivas Benítez, Tomás Fidelino",Rivas Benítez,Tomás Fidelino,414 - 4229
P245,Salustiano Salinas Montanía,PLRA,PLRA,sasa@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P245.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=245,2013,Central,,"Salinas Montanía, Salustiano",Salinas Montanía,Salustiano,414 - 4230
P246,María Nimia Carísimo Sosa,PLRA,PLRA,mariacarisimo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P246.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=246,2013,Central,,"Carísimo Sosa, María Nimia",Carísimo Sosa,María Nimia,414 - 4231
P247,Mirta Ramona Mendoza Díaz,PLRA,PLRA,mrmendoza@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P247.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=247,2013,Concepción,,"Mendoza Díaz, Mirta Ramona",Mendoza Díaz,Mirta Ramona,414 - 4232
P248,Edgar Isaac Ortiz Riveros,PLRA,PLRA,edagarortiz@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P248.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=248,2013,Itapúa,,"Ortiz Riveros, Edgar Isaac",Ortiz Riveros,Edgar Isaac,414 - 4233
P249,Horacio Victor Carísimo Ocampo,PLRA,PLRA,horaciocarisimo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P249.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=249,2013,Itapúa,,"Carísimo Ocampo, Horacio Victor",Carísimo Ocampo,Horacio Victor,414 - 4207
P250,Nazario Tomás Rojas Salvioni,ANR,ANR,nrojas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P250.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=250,2013,Cordillera,,"Rojas Salvioni, Nazario Tomás",Rojas Salvioni,Nazario Tomás,414 - 4171
P251,Victor Oscar González Drakeford,PLRA,PLRA,vogonzalez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P251.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=251,2013,Alto Paraná,,"González Drakeford, Victor Oscar",González Drakeford,Victor Oscar,414 - 4172
P253,Walter Enrique Harms Céspedes,ANR,ANR,walterharms@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P253.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=253,2013,Itapúa,,"Harms Céspedes, Walter Enrique",Harms Céspedes,Walter Enrique,414 - 4174
P254,Blanca Marina Vargas de Caballero,ANR,ANR,blancavargas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P254.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=254,2013,Alto Paraná,,"Vargas de Caballero, Blanca Marina",Vargas de Caballero,Blanca Marina,414 - 4175
P255,Cornelius Sawatzky Sawatzky,ANR,ANR,corneliussawatzky@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P255.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=255,2013,Boquerón,,"Sawatzky Sawatzky, Cornelius",Sawatzky Sawatzky,Cornelius,414 - 4176
P257,Olga Beatriz Ferreira de López,IND,IND,obferreira@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P257.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=257,2013,Capital,,"Ferreira de López, Olga Beatriz",Ferreira de López,Olga Beatriz,414 - 4178
P258,César Ariel Oviedo Verdún,ANR,ANR,arieloviedo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P258.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=258,2013,Central,,"Oviedo Verdún, César Ariel",Oviedo Verdún,César Ariel,414 - 4179
P259,Agustín Amado Florentín Cabral,PLRA,PLRA,aflorentin@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P259.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=259,2013,Cordillera,,"Florentín Cabral, Agustín Amado",Florentín Cabral,Agustín Amado,414 - 4357 / 414 - 4397 /  414 - 4367
P260,Oscar Luís Tuma Bogado,ANR,ANR,tuma@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P260.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=260,2013,Capital,,"Tuma Bogado, Oscar Luís",Tuma Bogado,Oscar Luís,414 - 4181
P261,Miguel Angel Del Puerto Silva,ANR,ANR,mdelpuerto@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P261.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=261,2013,Caaguazú,,"Del Puerto Silva, Miguel Angel",Del Puerto Silva,Miguel Angel,414 - 4182
P262,Juan Bartolomé Ramírez Brizuela,PLRA,PLRA,jbramirez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P262.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=262,2013,Amambay,,"Ramírez Brizuela, Juan Bartolomé",Ramírez Brizuela,Juan Bartolomé,414 - 4072
P263,Hugo Leandro Rubín Godoy,PEN,PEN,hugorubin@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P263.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=263,2013,Central,,"Rubín Godoy, Hugo Leandro",Rubín Godoy,Hugo Leandro,414 - 4184
P264,Dionisio Oswaldo Amarilla Guirland,PLRA,PLRA,dionisioamarilla@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P264.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=264,2013,Central,,"Amarilla Guirland, Dionisio Oswaldo",Amarilla Guirland,Dionisio Oswaldo,414 - 4244
P266,Pedro Milciades Duré Arguello,PLRA,PLRA,pedrodure@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P266.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=266,2013,Cordillera,,"Duré Arguello, Pedro Milciades",Duré Arguello,Pedro Milciades,414 - 4066
P267,Celso Kennedy Bogado,PLRA,PLRA,celsokennedy@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P267.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=267,2013,Caaguazú,,"Kennedy Bogado, Celso",Kennedy Bogado,Celso,414 - 4068
P268,Ricardo González Escobar,PEN,PEN,ricardogonzalez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P268.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=268,2013,Central,,"González Escobar, Ricardo",González Escobar,Ricardo,414 - 4069
P269,Eusebio Alvarenga Martínez,PLRA,PLRA,eusebioalvarenga@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P269.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=269,2013,Guairá,,"Alvarenga Martínez, Eusebio",Alvarenga Martínez,Eusebio,414 - 4070
P270,Olimpio Rojas Villalba,PLRA,PLRA,olimpiorojas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P270.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=270,2013,Caazapá,,"Rojas Villalba, Olimpio",Rojas Villalba,Olimpio,414 - 4071
P271,Edgar Acosta Alcaráz,PLRA,PLRA,edgaracosta@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P271.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=271,2013,Central,,"Acosta Alcaráz, Edgar",Acosta Alcaráz,Edgar,414 - 4183
P272,Carlos Antonio Portillo Verón,PLRA,PLRA,carlosportillo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P272.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=272,2013,Alto Paraná,,"Portillo Verón, Carlos Antonio",Portillo Verón,Carlos Antonio,414 - 4073
P273,Sergio Rojas Sosa,PLRA,PLRA,sergiorojas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P273.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=273,2013,Central,,"Rojas Sosa, Sergio",Rojas Sosa,Sergio,414 - 4074
P274,Enrique Antonio C. Buzarquis Cáceres,PLRA,PLRA,antoniobuzarquis@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P274.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=274,2013,Caaguazú,,"Buzarquis Cáceres, Enrique Antonio C.",Buzarquis Cáceres,Enrique Antonio C.,414 - 4075
P275,Juan Félix Bogado Tatter,PLRA,PLRA,jfbogado@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P275.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=275,2013,Capital,,"Bogado Tatter, Juan Félix",Bogado Tatter,Juan Félix,414 - 4076
P276,Pastor Alberto Vera Bejarano,PLRA,PLRA,pvbejarano@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P276.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=276,2013,San Pedro,,"Vera Bejarano, Pastor Alberto",Vera Bejarano,Pastor Alberto,414 - 4077
P277,Héctor Lucio Lesme Delgado,PLRA,PLRA,hlesme@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P277.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=277,2013,Central,,"Lesme Delgado, Héctor Lucio",Lesme Delgado,Héctor Lucio,414 - 4078
P278,Esmérita Sánchez de Da Silva,PLRA,PLRA,esmeritasanchez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P278.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=278,2013,Caaguazú,,"Sánchez de Da Silva, Esmérita",Sánchez de Da Silva,Esmérita,414 - 4079
P279,Antonio Gustavo Cardozo,PLRA,PLRA,gustavocardozo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P279.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=279,2013,Alto Paraná,,"Cardozo, Antonio Gustavo",Cardozo,Antonio Gustavo,414 - 4080
P280,José Gregorio Ledesma Narváez,PLRA,PLRA,joseledesma@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P280.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=280,2013,San Pedro,,"Ledesma Narváez, José Gregorio",Ledesma Narváez,José Gregorio,414 - 4081
P281,Asa Javier González Ortíz,PLRA,PLRA,asagonzalez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P281.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=281,2013,Misiones,,"González Ortíz, Asa Javier",González Ortíz,Asa Javier,414 - 4082
P282,Eber Osvaldo Ovelar Benitez,ANR,ANR,eovelar@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P282.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=282,2013,Caaguazú,,"Ovelar Benitez, Eber Osvaldo",Ovelar Benitez,Eber Osvaldo,414 - 4177
P284,Ramón Duarte Jiménez,FG,FG,ramonduarte@hotmail.com,http://www.diputados.gov.py/fotos/cv/P284.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=284,2013,Itapúa,,"Duarte Jiménez, Ramón",Duarte Jiménez,Ramón,414 - 4065
P286,Fernando Javier Nicora López Moreira,PLRA,PLRA,fernandonicora@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P286.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=286,2013,Presidente Hayes,,"Nicora López Moreira, Fernando Javier",Nicora López Moreira,Fernando Javier,4144173
P287,Fabiola Elvira Oviedo Melgarejo,ANR,ANR,foviedo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P287.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=287,2013,Capital,,"Oviedo Melgarejo, Fabiola Elvira",Oviedo Melgarejo,Fabiola Elvira,414  4316
